reviewTitle	reviewText	reviewRating	reviewDate
1151	Three Stars	They worked but were bent and out of shape.	3.0 out of 5 stars	on September 12, 2015
1152	Five Stars	Excellent price and good quality	5.0 out of 5 stars	on September 11, 2015
1153	Four Stars	Great. Worked as described.	4.0 out of 5 stars	on September 10, 2015
1154	Four Stars	Filters air	4.0 out of 5 stars	on September 10, 2015
1155	Good price point, but	Don't seem to hold up as well as FPR 7, thinner and easily bent.. For winter use probably is still decent, not the rest of seasons.	3.0 out of 5 stars	on September 7, 2015
1156	Happy with it	Good filter	5.0 out of 5 stars	on September 7, 2015
1157	Its a filter.	Its a filter.  It filters.  What more do you want.	4.0 out of 5 stars	on September 6, 2015
1158	Five Stars	GOOD PRODUCT	5.0 out of 5 stars	on September 2, 2015
1159	Does what I need, a prefilter. I have ...	Does what I need, a prefilter.  I have a 5" thick filter at the unit that I change every 6 months.  I got these to catch the bigger particles.	4.0 out of 5 stars	on September 2, 2015
1160	Filters.......hmmmmm	Filters - what can ya say?  They either fit and work or they don't.  These DO!	5.0 out of 5 stars	on August 31, 2015
1161	Five Stars	Good filter to use	5.0 out of 5 stars	on August 31, 2015
1162	Five Stars	No complaints it does what it is supposed to.	5.0 out of 5 stars	on August 30, 2015
1163	Five Stars	great	5.0 out of 5 stars	on August 29, 2015
1164	Five Stars	As expected.	5.0 out of 5 stars	on August 24, 2015
1165	Five Stars	Just as advertised, works great	5.0 out of 5 stars	on August 23, 2015
1166	Five Stars	Perfect fit, great value!	5.0 out of 5 stars	on August 21, 2015
1167	Five Stars	Excellent.	5.0 out of 5 stars	on August 21, 2015
1168	bend too easy.	very flimsy, bend too easy.	3.0 out of 5 stars	on August 21, 2015
1169	Five Stars	Works very well.	5.0 out of 5 stars	on August 20, 2015
1170	Good product worth the price	Good product  worth the price	4.0 out of 5 stars	on August 20, 2015
1171	Five Stars	Great Product and cheap price compared to Wal-Mart or HomeDepot	5.0 out of 5 stars	on August 19, 2015
1172	Inexpensive Decent Furnace Filters	These are decent, middle line furnace filters.  They aren't the best and they won't filter out the tiny particles like more expensive filters, but they'll do a good job at a lot less cost.	4.0 out of 5 stars	on August 18, 2015
1173	Five Stars	Every December, take down your new calendar and mark the same Saturday every month to replace your furnace filter!	5.0 out of 5 stars	on August 18, 2015
1174	Five Stars	Will need to order some more these are a great price for my shop filters	5.0 out of 5 stars	on August 16, 2015
1175	Cheaply made.	Cheaply made, inferior to what I've purchased in the past.	2.0 out of 5 stars	on August 14, 2015
1176	Five Stars	3M makes great filters	5.0 out of 5 stars	on August 14, 2015
1177	Furnace Filters - odd size very hard to find in stores	These work great and are affordable enough to change often.	5.0 out of 5 stars	on August 13, 2015
1178	Does what it says.	It's a good value, and captures lots of dust and dirt which is important because hey, it's a filter. I used to purchase these from my local grocery store but they stopped selling this particular size, so I was glad to find this on Amazon.	5.0 out of 5 stars	on August 12, 2015
1179	Good value on a good filter!	This is a good value and they capture lots of dust and dirt. I change my filter on the first of every month and they are surprisingly dirty. I always keep these on hand.	5.0 out of 5 stars	on August 12, 2015
1180	Good, reasonably priced filters.	Filters seem just fine. Shipping box broke part way open before delivery. Nothing missing, though.	4.0 out of 5 stars	on August 11, 2015
1181	Five Stars	Perfect	5.0 out of 5 stars	on August 10, 2015
1182	Good deal	Great product at a good price!	5.0 out of 5 stars	on August 9, 2015
1183	These claim to be suitable for systems with high air ...	These claim to be suitable for systems with high air velocity but this is not true.  These filters are still far too restrictive to use in a high velocity system.  The only filters that seems to work acceptably in a system with high air velocity are the 4" deep Honeywell filters, which have much more filter area and thus, lower air velocity at the media face.  These do require a very deep filter box for proper operation, so they can't be used in all systems.	2.0 out of 5 stars	on August 8, 2015
1184	Five Stars	it filters and it fits.	5.0 out of 5 stars	on August 8, 2015
1185	Five Stars	Fits and does it's job	5.0 out of 5 stars	on August 8, 2015
1186	Five Stars	Work great, good quality, will buy again, great deal.	5.0 out of 5 stars	on August 7, 2015
1187	Three Stars	Very thin -Would not purchase again	3.0 out of 5 stars	on August 7, 2015
1188	Five Stars	filters! yay!	5.0 out of 5 stars	on August 3, 2015
1189	Work great and convenient	These are great filters and its nice to have them delivered right to your door. Always have one on hand when I need it.	5.0 out of 5 stars	on August 3, 2015
1190	Five Stars	Same as above good price and 3M does the job	5.0 out of 5 stars	on August 1, 2015
1191	Four Stars	Right filter for hvac	4.0 out of 5 stars	on July 31, 2015
1192	Five Stars	nice but pricy	5.0 out of 5 stars	on July 30, 2015
1193	Good Filter	Filters right to my door at a value price and a good product.  Can't beat this product.	5.0 out of 5 stars	on July 29, 2015
1194	Definitely good value for your money	Exactly as described.  Definitely good value for your money.	4.0 out of 5 stars	on July 27, 2015
1195	Five Stars	Good price and works well!	5.0 out of 5 stars	on July 26, 2015
1196	damaged	product arrived without a box and filters were crammed in a sack bent and damaged!!! will never by again	1.0 out of 5 stars	on July 25, 2015
1197	Good choice	These Filtrete filters are exactly like you would buy at the big box stores and the price was at least 35% less than BBS.  Arrived in 2 days and very happy with the purchase.	5.0 out of 5 stars	on July 22, 2015
1198	LCP	They work quite well in my AC unit w/o the high price of other filters..	5.0 out of 5 stars	on July 22, 2015
1199	It does the job.	It does the job. Not much to say about a filter. It fills up with crud which means it gets the job done. I love that I can buy a cheap 6 pack twice a year and always have a back-up filter.	5.0 out of 5 stars	on July 22, 2015
1200	6 filters shrink wrapped together is a great idea, a real improvement over the old dispenser ...	6 filters shrink wrapped together is a great idea, a real improvement over the old dispenser box.  I love the convenience of having the loose filters laying around.  Now I don't have to open a new filter every few months 'cause they're already unwrapped.  Don't worry about the unwrapped filters getting dirty or wet waiting to be used.  I like loose, damp, dirty, damaged filters.	5.0 out of 5 stars	on July 21, 2015
1201	Just not quite thick enough (that's what she said)	Expected a thicker filter.	3.0 out of 5 stars	on July 21, 2015
1202	got what ordered nice item	Just as described easy to use and does the job	4.0 out of 5 stars	on July 21, 2015
1203	Five Stars	Love them!	5.0 out of 5 stars	on July 19, 2015
1204	Great Filters	Works perfect in our air conditioner.	5.0 out of 5 stars	on July 18, 2015
1205	It was the exact product I had been looking for ...	It was the exact product I had been looking for.  I visited Walmart, Lowes, and Home Depot and NO ONE had this size that I needed.	5.0 out of 5 stars	on July 17, 2015
1206	Three Stars	Good filters, just get full easy.	3.0 out of 5 stars	on July 16, 2015
1207	Perfect!	Perfect, exactly as described. Cheap enough to change the filter as often as recommended!	5.0 out of 5 stars	on July 15, 2015
1208	Five Stars	we have them for our home and they work great. we change them every 3 months.	5.0 out of 5 stars	on July 14, 2015
1209	Good serviceable filters	I was told by the repairman who serviced out air conditioning unit not to use super-fine allergy filters unless I had serious allergies, as they filled up faster and blocked more air. These are inexpensive and do the job well; we get great airflow with them and they filter out the dust and cat hair just fine.	5.0 out of 5 stars	on July 13, 2015
1210	It's worked great so far	HVAC installer told me to replace every month with the cheapest filter I could find.  Odd shape - hard to find.  It's worked great so far.  I can hear a stronger pull on the return though - the other filter (cheap blue one) had no sound and he said that's what you want to prolong the life of the unit.  Anyone else have an opinion?	4.0 out of 5 stars	on July 10, 2015
1211	Got what I asked for	Fast Delivery, Good Price, very satisfied.	5.0 out of 5 stars	on July 8, 2015
1212	Value buy	Good value for the 6 pack. Fit is perfect. No odd initial smell like other filters. Living in a close to ocean suburb with above average air quality, I'm not convinced paying extra money for a high end filter makes a dramatic difference.	5.0 out of 5 stars	on July 7, 2015
1213	BASIC is in the description	Emphasis on basic... We don't have any problems other than outside dust so basic is what we need. If you need a filter for anything other than keeping basic dust out of your system spend the extra cash otherwise Filtrete is a quality product.	3.0 out of 5 stars	on July 6, 2015
1214	it makes for a GREAT selling point	I shifted to using the basic dust filter vice a HEPA filter upon the advice of my trusted HVAC technician.HEPAs clog up so fast that they reduce the air flow markedly if not changed out immediately.There's no need for a HEPA filter in a house, it makes for a GREAT selling point, however, and a reason to charge premium prices.HEPAs are used in gas masks in industrial work areas.  My house is not an industrial work area.	5.0 out of 5 stars	on July 5, 2015
1215	Filtrete 14 x 30 filter - really great!	Great filter at a great price.  They seem to have a nice, fine filter.  When I change them at the end of the season, they have captured some really fine dust particles.  Plus I believe they are doing a really good job because I don't see any particle build up on my outlet vents.  Also, have only found this size at Amazon.  Home Depot and Lowe's sometimes carry it but not worth the search any longer - just get this six-pack from Amazon and you're ready for many seasons.	5.0 out of 5 stars	on July 2, 2015
1216	poor	filters were damaged with packaging, poor quality	1.0 out of 5 stars	on June 30, 2015
1217	Downhill Quality	As stated previously by other reviewers, the quality of these filters has gone downhill. The frame used to be rectangular but they have removed a side so it is very flimsy, especially in the 20x30 size. After using a few of them, I came upon a few that had been slightly bent during shipment...when I installed one, it buckled under the a/c air inflow.  I ended up bracing it with a thin wood slat.  They can hold their own when in undamaged condition, but once they are bent, structural integrity is gone. Gave 2 stars because I don't like they way the quality went down without any warning.	2.0 out of 5 stars	on June 30, 2015
1218	Filtering Filters	They are filters, and they filter. That earns them 5 stars in my book. Nuff said.	5.0 out of 5 stars	on June 30, 2015
1219	Bad quality, unusable	The product arrived bent and broken along the edges, making it impossible to fit into the vent. We will not be ordering these again.	1.0 out of 5 stars	on June 28, 2015
1220	This is a good buy. I already replaced	This is a good buy. I already replaced, love amazon where you can find everything you need- clothing house stuff. Thanks.	5.0 out of 5 stars	on June 28, 2015
1221	Five Stars	Good product	5.0 out of 5 stars	on June 27, 2015
1222	Was except same product I bought at a retailer at ...	Was except same product I bought at a retailer at a cheaper price could only buy 3 for 20 dollars at retail got around six for the same price from thiw website also came with prime. I think it is important to keep a clean air filter.	5.0 out of 5 stars	on June 26, 2015
1223	Five Stars	Excellent	5.0 out of 5 stars	on June 26, 2015
1224	Poorer quality	Quality has decreased since last time I got these. They used to have much needed x bracing across filter. New ones don't have that so the filter collapses causing it to belly.	2.0 out of 5 stars	on June 25, 2015
1225	Filtrete dust filter	The size is slightly bigger than the filter slot, but it works and will find out any problem later after few months.	4.0 out of 5 stars	on June 25, 2015
1226	These are cost-efficient filters that have performed exactly as expected	I purchased a set of these filters in the 16x25x1 size for a single-family residence in Florida.  I change the filters regularly every six months, and these clearly filter out a LOT of dust and dirt.  I've used more expensive filters in the past, and I switched to these to save a bit of money.  My power bills have remained low, and I'm happy with the quality of the air in my home.  When I physically examine the filters, I don't see some of the problems that other reviewers have mentioned (in terms of inconsistency of the filtering material).  I'm perfectly happy with these filters, and plan on buying them again when I run out.	5.0 out of 5 stars	on June 24, 2015
1227	Great air filers	Great air filters! A very good price compared to what you pay in the store. I will definitely buy these on a regular basis.	5.0 out of 5 stars	on June 24, 2015
1228	Four Stars	Good product for a reasonable price.	4.0 out of 5 stars	on June 23, 2015
1229	Three Stars	Too flimsy... I guess you get what you pay for.	3.0 out of 5 stars	on June 23, 2015
1230	Five Stars	Great price for the product.	5.0 out of 5 stars	on June 22, 2015
1231	nice	worked and fit in the heater	3.0 out of 5 stars	on June 22, 2015
1232	Five Stars	Great to not have to sort through the sizes at the store.  Fast delivery & Great product.  Very effective.	5.0 out of 5 stars	on June 19, 2015
1233	Five Stars	Fit perfect, now my air is clean! I love it.	5.0 out of 5 stars	on June 18, 2015
1234	Five Stars	Does the job!	5.0 out of 5 stars	on June 18, 2015
1235	Five Stars	Awesome	5.0 out of 5 stars	on June 17, 2015
1236	Five Stars	These are quality, cheap enough, will buy again.  I replace monthly in the summer here in dusty, hot AZ.	5.0 out of 5 stars	on June 13, 2015
1237	Good deal but living in desert where I'm use to ...	Good deal but living in desert where I'm use to heat and rarely run my air units so rarely has to change. Wouldn't recommend if you have to constantly change.	4.0 out of 5 stars	on June 12, 2015
1238	Works fine. We don't change filters very often and these ...	Works fine.  We don't change filters very often and these seem to have worked.	5.0 out of 5 stars	on June 10, 2015
1239	Three Stars	Trapping dirt but material not consistent, looks cheap.	3.0 out of 5 stars	on June 9, 2015
1240	Am very happy Amazon carries these	What a relief!  These fit my AC air handler perfectly.  I don't drive and the supermarket I can walk to does not carry 12" x 24" filters so having a bunch stashed away feels very good.  the filter frame is stiff enough to allow easy insertion into the slot where it goes and without a millimeter of wiggle room.	5.0 out of 5 stars	on June 9, 2015
1241	Five Stars	Good s***!	5.0 out of 5 stars	on June 8, 2015
1242	Five Stars	Was just what I needed.	5.0 out of 5 stars	on June 8, 2015
1243	Five Stars	Great filters!	5.0 out of 5 stars	on May 31, 2015
1244	Three Stars	it is ok and it works	3.0 out of 5 stars	on May 31, 2015
1245	Five Stars	Good quality and reasonably priced	5.0 out of 5 stars	on May 30, 2015
1246	Five Stars	Perfect filters and a better price than the local hardware store.	5.0 out of 5 stars	on May 30, 2015
1247	Five Stars	fast shipping and great quality	5.0 out of 5 stars	on May 29, 2015
1248	Works great and catches a lot of dust	We've been buying this type of filter for years.  Works great and catches a lot of dust.	5.0 out of 5 stars	on May 28, 2015
1249	Five Stars	repeat consumer	5.0 out of 5 stars	on May 27, 2015
1250	Filter is larger then advertised	This filter is not true to size.  It did not fit in my AC that calls for 14 x 30 x 1-Inches.  The border is to large.	1.0 out of 5 stars	on May 26, 2015
1251	overall performance is good.	I came close to fitting the opening in my system, overall performance is good.	4.0 out of 5 stars	on May 25, 2015
1252	Good filters	they fit perfect.	5.0 out of 5 stars	on May 22, 2015
1253	Great quality and price!	Perfect fit!	5.0 out of 5 stars	on May 21, 2015
1254	Five Stars	Powerful filter!	5.0 out of 5 stars	on May 14, 2015
1255	do the job	I've got an odd shaped return duct and needs two 18x18 filters.  these were not exactly 18x18, but close and with a little blue tape they do the job and the price is reasonable.  Cannot get this size anymore locally, so don't have much choice but mail order	4.0 out of 5 stars	on May 14, 2015
1256	If you are looking for just a basic air filter ...	If you are looking for just a basic air filter for your HVAC system, these filters will do the job without preventing too much loss in air flow which could damage your system.	5.0 out of 5 stars	on May 10, 2015
1257	Five Stars	A++++SELLER WOULD PURCHASE AGAIN!!!!....5 STARS	5.0 out of 5 stars	on May 9, 2015
1258	Five Stars	works well	5.0 out of 5 stars	on May 8, 2015
1259	Four Stars	Good. does the job for the right price	4.0 out of 5 stars	on May 8, 2015
1260	Great price!	Does the job even tho thinner. Just change more frequently. Can't beat the price!	4.0 out of 5 stars	on May 8, 2015
1261	obviously a great deal.	Delivered on time, obviously a great deal.	5.0 out of 5 stars	on May 4, 2015
1262	Four Stars	Does the job at a reasonable price.	4.0 out of 5 stars	on May 3, 2015
1263	Five Stars	GREAT BUY!	5.0 out of 5 stars	on April 28, 2015
1264	Five Stars	Excellent experience!	5.0 out of 5 stars	on April 26, 2015
1265	Good filters, good price.	These are filters.....they work......that's about it.  Hard to get excited about them.	4.0 out of 5 stars	on April 25, 2015
1266	Four Stars	Great price and quick shipping	4.0 out of 5 stars	on April 17, 2015
1267	Four Stars	Seems to be a good filter for the money	4.0 out of 5 stars	on April 16, 2015
1268	Five Stars	Excelente  filtros	5.0 out of 5 stars	on April 15, 2015
1269	All the Filter You'll Ever Need.	So far so good.  I had been making the mistake of using higher filter ratings (read more filtration).  I am a commercial HVAC guy and I thought a higher filtration would be better, but unless you have a specialized furnace that specifically calls for higher filtration values you will only restrict airflow.  I was getting errors on my furnace and finally realized that I was restricting airflow.These are light yet stiff so they won't fold up on you when you install them.  I also like the fact that they come in a six pack.	4.0 out of 5 stars	on April 14, 2015
1270	Great purchase- as described	This was exactly what I was looking for. It fit my furnace and it was exactly as described. They have been working well.	5.0 out of 5 stars	on April 12, 2015
1271	Good product I think	For me it is hard to tell how good this product is except I can say after 90 days, it was considerably dirty so I guess that's good, right?	4.0 out of 5 stars	on April 10, 2015
1272	Five Stars	It does a great job.	5.0 out of 5 stars	on April 10, 2015
1273	Five Stars	Hard to find in stores,works as expected	5.0 out of 5 stars	on April 9, 2015
1274	Three Stars	Item worked just fine.	3.0 out of 5 stars	on April 9, 2015
1275	Great Price!	Basic filters but great for the price compared to others on the market. These were recommended by our HVAC Contractor.	5.0 out of 5 stars	on April 8, 2015
1276	Five Stars	Great product. Fit perfectly.	5.0 out of 5 stars	on April 6, 2015
1277	Four Stars	its a filter	4.0 out of 5 stars	on April 6, 2015
1278	5 star rating	Best for the money. I will buy again.	5.0 out of 5 stars	on April 5, 2015
1279	Five Stars	more effective than others I have tried	5.0 out of 5 stars	on April 2, 2015
1280	Keep your house dust free!	These arrived quickly, are easy to install and seem to do the job!	5.0 out of 5 stars	on April 2, 2015
1281	Five Stars	clean air is good	5.0 out of 5 stars	on April 2, 2015
1282	Great product at better price.	Not the ultra "hypo-allergenic" extra thick ones like you so often see these days. You really don't want to  use those as it forces your air return to work extremely hard. This raises your electric bill, wears pars, while giving you little to no benefit.  I have ran the higher grade filtrete filters and found no improvement in my terrible allergies. And I live in New Mexico too. I like Amazon, as my house has a couple odd ball size filters that are not available at the big box stores. I can easily find them on here, and they are only $5 a filter. Will continue to buy as needed.	5.0 out of 5 stars	on March 30, 2015
1283	Four Stars	Perform as expected. Seems to reduce the overall amount of dust in the house too.	4.0 out of 5 stars	on March 29, 2015
1284	Five Stars	As described	5.0 out of 5 stars	on March 28, 2015
1285	Overall this is a great value for the price	Overall this is a great value for the price. The reason I left off one star is these filters are much thinner than the ones i have purchased at my local grocery store and Home Depot and because of that they wont last quite as long. That being said, this is a great value and will be worth more frequent trips up into my attic to replace them.	4.0 out of 5 stars	on March 27, 2015
1286	Five Stars	Great filters!	5.0 out of 5 stars	on March 27, 2015
1287	Five Stars	No more grocery filters	5.0 out of 5 stars	on March 27, 2015
1288	Great filters delivered at a good price	Very good quality air filters and a price to beat the big box stores and delivered to my front door. What's not to like?	5.0 out of 5 stars	on March 25, 2015
1289	Five Stars	Great price	5.0 out of 5 stars	on March 25, 2015
1290	... the 2nd order for this item and its a great savings and comes really quick	This is the 2nd order for this item and its a great savings and comes really quick.	5.0 out of 5 stars	on March 23, 2015
1291	Four Stars	good as is for a filter!	4.0 out of 5 stars	on March 22, 2015
1292	Five Stars	Thin, but filters out the smell of burning flesh	5.0 out of 5 stars	on March 20, 2015
1293	Five Stars	Perfect!	5.0 out of 5 stars	on March 18, 2015
1294	Five Stars	Good value	5.0 out of 5 stars	on March 16, 2015
1295	It arrived on time and looks good, but it will be a few months before ...	Don't know how to rate this.  It arrived on time and looks good, but it will be a few months before I need to start using them.	3.0 out of 5 stars	on March 15, 2015
1296	Five Stars	Excellent filters	5.0 out of 5 stars	on March 13, 2015
1297	Five Stars	Lots less dust in house	5.0 out of 5 stars	on March 10, 2015
1298	Five Stars	good filters	5.0 out of 5 stars	on March 10, 2015
1299	good product	Product arrived quickly, they are the correct size, good price.	5.0 out of 5 stars	on March 8, 2015
1300	Product was not or sealed or glued at the ends ...	Product was not or sealed or glued at the ends.Not a true or properly manufactured he pa filter.Did use it though. It does filter out dirt from the air.I Will buy a with 3 M Brand next time.	3.0 out of 5 stars	on March 6, 2015
1301	Can't beat the price, so I now change my ...	Can't beat the price, so I now change my filter as often as I am supposed to, rather than trying to get an extra few weeks out of each filter.	5.0 out of 5 stars	on March 3, 2015
1302	Great.	Great quality air filters.  Would purchase again.	5.0 out of 5 stars	on March 2, 2015
1303	Five Stars	as described	5.0 out of 5 stars	on March 1, 2015
1304	Four Stars	Perfect for the house we have that wanted these odd sized filters.	4.0 out of 5 stars	on March 1, 2015
1305	These work just fine, they are cheap and should be replaced at ...	What can you say about furnace filters???  They either work or they do not.  These work just fine, they are cheap and should be replaced at least every month (possibly more often in high use months).  Second time purchasing and will more than likely purchase again.	4.0 out of 5 stars	on February 26, 2015
1306	Five Stars	Great item, fast shipping.	5.0 out of 5 stars	on February 25, 2015
1307	Five Stars	exactly what I wanted, thank you!	5.0 out of 5 stars	on February 24, 2015
1308	Five Stars	Arrived quickly and as expected	5.0 out of 5 stars	on February 23, 2015
1309	Fit perfectly! Check your filter every 30 days.	Fit perfectly! Check your filter every 30 days.	5.0 out of 5 stars	on February 23, 2015
1310	Five Stars	Work & fit perfectly.	5.0 out of 5 stars	on February 21, 2015
1311	Five Stars	Simply the best for keeping the dust down during these winter months	5.0 out of 5 stars	on February 20, 2015
1312	Five Stars	great product great price	5.0 out of 5 stars	on February 19, 2015
1313	Furace Filters	Filters appear same as Ace Hardware ones I normally buy. Convenient free shipping.	4.0 out of 5 stars	on February 19, 2015
1314	The air from the furnace kept bending these so the ...	The air from the furnace kept bending these so the heat would not go up and the furnace kept running. Had to replace them at least weekly.	1.0 out of 5 stars	on February 17, 2015
1315	Fit great and working great	Just put the filter in a few weeks ago and it seems to be doing well.  Will be trying to change the filter about once a month or so.  Seems to be good filters and a good price and nice to have a box of them handy so I can change it more frequently for efficiency of the furnace.	5.0 out of 5 stars	on February 16, 2015
1316	Quality Has Declined	I've been buying this and another size of Filtrete 300 filters for a few years, and this was the first time I've been disappointed. The filters in this batch are slightly smaller, which causes an annoying whistle as air passes between the filter and fixture. The cardboard frame also is weaker. I'll be buying another brand from now on.	2.0 out of 5 stars	on February 15, 2015
1317	Because while all other filters have always fit fine, this one was about 1/4 inch too big ...	I bought the 14x30 size filter. There must be an actual and nominal size for 14x30 filters. Because while all other filters have always fit fine, this one was about 1/4 inch too big than the frame. I had a hard time fitting this filter in and always had to squeeze it hard to the point where they were always warped when placed. When I measured this particular filter against the others, I found that it was about 1/4 inch bigger than usual. I didn't bother returning it, but I will not be buying this filter any more.	1.0 out of 5 stars	on February 15, 2015
1318	Five Stars	perfect fit	5.0 out of 5 stars	on February 14, 2015
1319	This filter is probably as good as the size I needed but this orde was ...	This filter is probably as good as the size I needed but this orde was a mistake on my part in not ordering the correct size for my furnace	4.0 out of 5 stars	on February 14, 2015
1320	Five Stars	Great product and love that I can buy it from Amazon!	5.0 out of 5 stars	on February 5, 2015
1321	Five Stars	Just what I wanted	5.0 out of 5 stars	on February 4, 2015
1322	No problem.	No problem.	4.0 out of 5 stars	on February 3, 2015
1323	Good filters at a great price.	Good filters at a great price. My bro works in HVAC and says get the cheapest decent filters you can. The super-duper HEPA rated filters reduce forced airflow and can cause the motor on your blower to burn out more quickly. Don't know if that's true or not, but these are well priced and give you a year's worth of filters if you only change once every 2 months. I also have a hard time finding this size locally, so it's worth getting them sent from Amazon.	4.0 out of 5 stars	on February 1, 2015
1324	great	Fit perfectly work well.  Delivered to your door.  What more can you say	5.0 out of 5 stars	on February 1, 2015
1325	Good product at a great price!	Good product.  Great price for a six-pack!	4.0 out of 5 stars	on February 1, 2015
1326	Just buy them already.	Great product! Perfect for our kid friendly home. We don't have pets, but this has been great for catching dust. I put a little tea tree oil on these & the house smells great all the time!	5.0 out of 5 stars	on January 27, 2015
1327	On time shipping	The item arrived on time and as described.	5.0 out of 5 stars	on January 26, 2015
1328	Five Stars	Best prices I have found and it's all the same product.	5.0 out of 5 stars	on January 24, 2015
1329	Five Stars	work like they should. great price.	5.0 out of 5 stars	on January 22, 2015
1330	Five Stars	These are quality filters.	5.0 out of 5 stars	on January 22, 2015
1331	The filter appears to traps all the dirt and debris and is perfect for strong airflow	Can't find them anywhere cheaper; Never had an issue using them; Change every 3 months.  The filter appears to traps all the dirt and debris and is perfect for strong airflow.	5.0 out of 5 stars	on January 21, 2015
1332	poor quality as others have said	Poorly constructed! As other reviewers have written - I thought they were just getting a bad batch. Not the case. These are horrible!	1.0 out of 5 stars	on January 20, 2015
1333	Five Stars	they fit and they supposedly last 3 months	5.0 out of 5 stars	on January 20, 2015
1334	LOVE IT!	Drastically reduced dust build up in my 1916 home! Good price on Amazon :)	5.0 out of 5 stars	on January 18, 2015
1335	I'm disappointed as these are supposed to be 3M Filtrete filters	I'm disappointed as these are supposed to be 3M Filtrete filters.  I'm not sure why, but these are not the same quality I can buy at the local home improvement store for almost the same cost.  The reinforcement on the furnace side is poor, so they sag badly under flow pressure (I have a down flow furnace, but that shouldn't matter).  In addition, once a month replacement during the winter is normal for us (we have lots of critters), but I find every two weeks is the limit on these before the furnace blower begins to strain.For the few cents apiece more they run locally I'm going back to the locally available filters - I wont' be ordering these "sight unseen" again.	2.0 out of 5 stars	on January 16, 2015
1336	Why pay more	Works fine.  After all I'm just going to throw them away every 30 days.  Expensive of cheap, they all go in the trash after 30 days.	5.0 out of 5 stars	on January 15, 2015
1337	Five Stars	filter	5.0 out of 5 stars	on January 14, 2015
1338	Five Stars	Arrived in good condition and works as expected. Good price. Fast delivery. it fits my house perfectly.	5.0 out of 5 stars	on January 13, 2015
1339	Five Stars	Great price, fast shipping, product that works very well.  Couldn't be happier.	5.0 out of 5 stars	on January 13, 2015
1340	Five Stars	Works as expected	5.0 out of 5 stars	on January 13, 2015
1341	Five Stars	Great	5.0 out of 5 stars	on January 11, 2015
1342	Five Stars	Helping keep the dust down	5.0 out of 5 stars	on January 11, 2015
1343	not so good	First time buying them and I'm not impressed makes a whistle that is anoying i see more dust in the house and it looks poorly made the mesh have tiny holes so i don't think it blocks enough so for next time ill try diferent filter not these	1.0 out of 5 stars	on January 9, 2015
1344	Three Stars	WORKS NICE AND FAIR PRICE	3.0 out of 5 stars	on January 8, 2015
1345	Filtrete is great product & good value on Amazon	Bargain & nice product	5.0 out of 5 stars	on January 5, 2015
1346	Extremely happy with this filter	Our whole house air cleaner performs more efficiently with these filters	5.0 out of 5 stars	on January 5, 2015
1347	Good Product	Arrived on time, fits like it said it would and does what it's supposed to do as a filter.  It's hard to give it anything but a 5 as it hits the mark.	5.0 out of 5 stars	on January 5, 2015
1348	Four Stars	Great	4.0 out of 5 stars	on January 3, 2015
1349	Agreat buy	Great filter	5.0 out of 5 stars	on January 1, 2015
1350	Five Stars	Good quality....Good price...Having extras on hand tends to make us change our filter more often.....probably a good thing..	5.0 out of 5 stars	on December 30, 2014
1351	Four Stars	Keeps my heater working better	4.0 out of 5 stars	on December 30, 2014
1352	Five Stars	Works good and fits like it should. So far, so good.	5.0 out of 5 stars	on December 29, 2014
1353	Five Stars	Excellent!	5.0 out of 5 stars	on December 29, 2014
1354	Cheap Filters, Large Pack, Yahtzee	Cheap filters in a large pack. Used in our new house in a construction area and has picked up any dust admirably.	4.0 out of 5 stars	on December 28, 2014
1355	Five Stars	was as described and was enjoyed	5.0 out of 5 stars	on December 27, 2014
1356	Good inexpensive filters	Arrived in good condition and have extras now.	5.0 out of 5 stars	on December 25, 2014
1357	Five Stars	Works as expected.	5.0 out of 5 stars	on December 23, 2014
1358	Great bargain!	Can't beat the price and convenience!	5.0 out of 5 stars	on December 22, 2014
1359	Works well!	Works well in filtering out the dust, but still allowing my heating system to "breath". My heating contractor recommend using lighter type filters as this allows the system to take in more air and work more efficiently. These are just right, they filter the dust and are still light enough at allow good air flow. I have several air returns on my system and they are all different sizes, this 12x12 is a hard size for me to find locally, so I was very happy to find it here on Amazon at a good price.	5.0 out of 5 stars	on December 22, 2014
1360	Clean Living Filters	These filters work great.	4.0 out of 5 stars	on December 20, 2014
1361	Five Stars	Good product, works as described.	5.0 out of 5 stars	on December 20, 2014
1362	Pretty good air filter	I guess I got these because I bought a Air filter grille cover  and it was recommended. I didn't know anything about the levels of allergies it protects. Its a mediocre filter- not bad. I would prefer a higher rating.	3.0 out of 5 stars	on December 19, 2014
1363	Five Stars	good filter, good price.	5.0 out of 5 stars	on December 19, 2014
1364	Good price. Fast delivery	It came as was advertised. Good price. Fast delivery. It's as good as anything I would have purchased at the store and cheaper.	5.0 out of 5 stars	on December 18, 2014
